"8594403        ";"CERA DEPILAT VISUAL DEPIL MAIS QUENTE 300G MENTA                                                    ";85944;004670;02;07;0703;2116;VISUAL +;"7898956721055  ";2;0;UN;"MENTA    ";NOR;20221222;9999999;9999999
"0392301        ";"SHAMPOO RECONSTRUTOR LISA CREME SOFT HAIR 1L                                                        ";03923;005175;01;15;1502;1841;SOFT HAIR;"7896115136962  ";1;0;UN;".        ";NOR;20220930;9999999;9999999
"0705402        ";"CORRETIVO NANO HD VULT 13G V190                                                                     ";07054;003903;01;04;0402;2111;VULT;"7899852019123  ";4;0;UN;"V190     ";NOR;20221219;9999999;9999999
"0648407        ";"ESMALTE  NEON BUBBLE BOOM  TOP BEAUTY                                                               ";06484;005082;01;01;0105;1938;TOP BEAUTY;"7899083122142  ";12;0;UN;BUBBLE BO;NOR;20221213;9999999;9999999
"0363003        ";"MÁSCARA MATIZANTE AMEND PEARL BLONDE 250G                                                           ";03630;047631;01;15;1507;0138;AMEND;"7896852619438  ";1;0;UN;"PEARL    ";NOR;20221219;9999999;9999999
"8678901        ";"TUBO APLICADOR DE ESMALTE PARA DECORAÇÃO 1960 SANTA CLARA                                          ";86789;000030;00;01;0101;1829;S.CLARA;"7897169219601  ";3;0;UN;".        ";DAG;20221019;9999999;9999999
"0532801        ";"MÁSCARA ANTIEMBORRACHAMENTO SOS MADAMELIS 300G                                                      ";05328;005470;01;15;1505;1369;MADAMELIS;"7898952516679  ";4;0;UN;".        ";NOR;20221110;9999999;9999999
"9447901        ";"S.LINE ATV CAHOS 300ML RICINO                                                                       ";94479;005249;01;15;1508;1825;SALON LINE;"7898623951723  ";2;0;UN;".        ";DAG;20221212;9999999;9999999
"8681401        ";"ESCOVA CONDOR EXTREME 7911                                                                          ";86814;000003;00;22;2201;0314;CONDOR;"7891055629604  ";1;0;UN;".        ";DAG;20221213;9999999;9999999
"0539901        ";"CONDICIONADOR COLOR TRUSS 320ML.                                                                    ";05399;047615;01;15;1503;1943;TRUSS;"7898625790269  ";2;0;UN;".        ";NOR;20220705;9999999;9999999
"9394701        ";"S.LINE CCP 300ML KIDS #TODECAC                                                                      ";93947;005249;01;15;1508;1825;SALON LINE;"7898524349254  ";2;0;UN;".        ";DAG;20221221;9999999;9999999
"8438801        ";"ESCOVA DE CABELO BELLIZ ION TÉRMICA PEQUENA REF 298                                                 ";84388;000887;00;22;2201;0224;BELLIZ;"7897517902988  ";3;0;UN;".        ";NOR;20221219;9999999;9999999
"0359201        ";"LENÇOL DESCARTÁVEL COM ELASTANO COM 5 UNIDADES SANTA CLARA  665                                     ";03592;000030;00;07;0701;1829;S.CLARA;"7897169206656  ";1;0;UN;".        ";DAG;20221222;9999999;9999999
"0530884        ";"ESMALTE MEU FLOQUINHO STUDIO 35 9ML                                                                 ";05308;047614;01;01;0105;1872;STUDIO 35;"7898624394260  ";12;0;UN;#MEUFLOQU;NOR;20220131;9999999;9999999
"0402501        ";"CREME HIDRATANTE FACIAL FOTOPROTETOR FPS30 NUPILL 50G                                               ";04025;047510;01;04;0409;1431;NUPILL;"7898911308215  ";1;0;UN;".        ";DAG;20220409;9999999;9999999
"0679008        ";"KIT UNHA POSTIÇA AUTOCOLANTE MÉDIO HASHTAG KISS IMPRESS                                             ";06790;005322;01;01;0102;1107;KISS;"731509974355   ";4;0;UN;M.HASHTAG;NOR;20220816;9999999;9999999
"0395801        ";"ESCOVA MAPLE VERTIX REF 2422 .                                                                      ";03958;000887;00;22;2201;2107;VERTIX;"7897517924225  ";1;0;UN;".        ";NOR;20221210;9999999;9999999
"7523801        ";"PULVERIZADOR SANTA CLARA BOLA 280ML                                                                 ";75238;000030;00;25;2501;1829;S.CLARA;"7897169201347  ";3;0;UN;".        ";DAG;20221214;9999999;9999999
"0711601        ";"PÓ ILUMINADOR HD GLOW BRONZE RICOSTI 10G                                                            ";07116;005146;01;04;0402;1717;RICOSTI;"7898650621347  ";3;0;UN;"BRONZE   ";NOR;20221123;9999999;9999999
"8943810        ";"TINTURA IGORA ROYAL 6.1 60ML                                                                        ";89438;000537;00;24;2402;0918;IGORA;"7702045538755  ";1;0;UN;"6.1      ";NOR;20221224;9999999;9999999
"0497005        ";"SABONETE LÍQUIDO PÉTALAS DE ROSAS CORPO DOURADO 1L                                                  ";04970;047655;01;05;0503;0328;CORPO DOURADO;"7898610077184  ";1;0;UN;PET.ROSAS;NOR;20221223;9999999;9999999
